system,model,type,start,finish
argo22,vec,train,7:26:55.356,07:26:57.426
argo22,vec,query,07:26:58.422,07:26:58.550
argo22,vec,method,07:26:58.606,07:26:58.694
argo22,vec,rank,07:26:58.694,07:27:16.962
argo22,vec_sums,total,07:27:18.056,07:30:30.870
argo22,lda,train,07:30:31.46,07:31:29.667
argo22,lda,query,07:31:29.972,07:31:30.116
argo22,lda,method,07:31:30.116,07:31:38.644
argo22,lda,rank,07:31:38.644,07:31:57.611
argo24,vec,train,07:32:18.651,07:32:20.918
argo24,vec,query,07:32:21.970,07:32:22.016
argo24,vec,method,07:32:22.074,07:32:22.166
argo24,vec,rank,07:32:22.166,07:32:33.261
argo24,vec_sums,total,07:32:34.388,07:34:09.284
argo24,lda,train,07:34:09.904,07:35:15.411
argo24,lda,query,07:35:15.728,07:35:15.789
argo24,lda,method,07:35:15.789,07:35:26.105
argo24,lda,rank,07:35:26.105,07:35:37.944
argo26,vec,train,07:36:01.789,07:36:04.525
argo26,vec,query,07:36:05.822,07:36:06.064
argo26,vec,method,07:36:06.135,07:36:06.251
argo26,vec,rank,07:36:06.251,07:37:06.057
argo26,vec_sums,total,07:37:07.408,07:46:34.856
argo26,lda,train,07:46:35.618,07:47:56.794
argo26,lda,query,07:47:57.136,07:47:57.451
argo26,lda,method,07:47:57.451,07:48:11.215
argo26,lda,rank,07:48:11.215,07:49:11.554
jabref,vec,train,07:49:23.385,07:49:24.665
jabref,vec,query,07:49:25.288,07:49:25.315
jabref,vec,method,07:49:25.343,07:49:25.384
jabref,vec,rank,07:49:25.384,07:49:28.877
jabref,vec_sums,total,07:49:29.655,07:49:57.758
jabref,lda,train,07:49:58.131,07:50:27.635
jabref,lda,query,07:50:27.901,07:50:27.941
jabref,lda,method,07:50:27.941,07:50:31.966
jabref,lda,rank,07:50:31.966,07:50:35.720
jedit,vec,train,07:50:50.109,07:50:51.628
jedit,vec,query,07:50:52.309,07:50:52.434
jedit,vec,method,07:50:52.470,07:50:52.524
jedit,vec,rank,07:50:52.524,07:51:10.938
jedit,vec_sums,total,07:51:11.752,07:53:44.311
jedit,lda,train,07:53:44.762,07:54:21.463
jedit,lda,query,07:54:21.725,07:54:21.893
jedit,lda,method,07:54:21.893,07:54:27.134
jedit,lda,rank,07:54:27.134,07:54:45.879
mu,vec,train,07:55:01.043,07:55:02.739
mu,vec,query,07:55:03.555,07:55:03.616
mu,vec,method,07:55:03.657,07:55:03.722
mu,vec,rank,07:55:03.722,07:55:17.141
mu,vec_sums,total,07:55:18.024,07:56:55.186
mu,lda,train,07:56:55.667,07:57:38.564
mu,lda,query,07:57:38.829,07:57:38.914
mu,lda,method,07:57:38.914,07:57:45.019
mu,lda,rank,07:57:45.019,07:57:59.002
