1436014	1	1741	
1738920	1	2383	
1540646	1	1745	
1489454	1	1695	
1535044	1	1743	
1709449	1	2321	
2207462	1	2813	
1285977	1	1743	
2105329	1	2754	
1548875	1	1742	
1297576	2	2292	2303	
2938562	1	3160	
1594169	1	1806	
1587342	1	1813	
1711135	1	2089	
1785416	1	2461	
1631548	1	1884	
1648789	1	2377	
1534537	1	1737	
1570570	1	1831	
1641247	1	1909	
1545601	1	1742	
1827568	1	2713	
1495181	1	1750	
1219592	1	1336	
1717849	1	2282	
1588028	1	1807	
1594123	3	1803	1804	1805	
2027944	1	2688	
2931293	1	3161	
1542552	3	1723	1727	1739	
1503956	1	1728	
1944198	1	2652	
1601651	1	1812	
1574773	1	1830	
1538769	1	1698	
1749613	1	2307	
1553552	1	1754	
2904968	1	3145	
2119059	1	2772	
